date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:47	14/14	---M--	404	error ('Not%20Found')	text/plain	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/robots.txt		(from )
17:17:47	21383/21383	U-----	200	untouched ('OK')	text/html	etag:W/%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html	(from )
17:18:50	1150/1150	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/ico/favicon.ico	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/ico/favicon.ico	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:18:50	51284/51284	U-----	200	untouched ('OK')	text/css	etag:%22gz[041e01646c312aeec1ecbfcf4c82c633]%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/css/ionicons.min.css	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/css/ionicons.min.css	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:18:51	176944/176944	U-----	200	untouched ('OK')	text/css	etag:%22gz[041e01646c312aeec1ecbfcf4c82c633]%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/css/theme.css	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/css/theme.css	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:18:51	327/327	U-----	200	untouched ('OK')	image/svg+xml	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/img/spinner.svg	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/img/spinner.svg	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:18:52	6631/6631	U-----	200	untouched ('OK')	text/html	etag:W/%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/layouts.html	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/layouts.html	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:18:52	347618/347618	U-----	200	untouched ('')	image/jpeg	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/img/6.jpg	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/img/6.jpg	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:18:53	60169/60169	U-----	200	untouched ('')	image/png	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/img/avatar_3.png	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/img/avatar_3.png	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:18:54	58468/58468	U-----	200	untouched ('')	image/png	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/img/avatar_2.png	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/img/avatar_2.png	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
