date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:27	345/345	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:30:26%20GMT	https://avancargo.com/robots.txt		(from )
10:30:28	41452/41452	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2019:32:27%20GMT	https://avancargo.com/	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/avancargo.com/index.html	(from )
10:30:28	69137/69137	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202019%2019:32:27%20GMT	https://avancargo.com/bundle-styles.css	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/avancargo.com/bundle-styles.css	(from https://avancargo.com/)
10:30:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2030%20Aug%202019%2014:30:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/www.googletagmanager.com/gtm.15445.delayed	(from https://avancargo.com/)
10:30:30	3032/3032	---M--	200	added ('OK')	image/png	etag:%220d9f7ee6459bcb78814771e9f0de18b8%22	https://avancargo.com/static/apple-touch-icon.png?v=kP3rqLy304	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/avancargo.com/static/apple-touch-icon5cfb.png	(from https://avancargo.com/)
10:30:30	3170/3170	---M--	200	added ('OK')	image/png	etag:%22555fcdac1d09fd4756c0ff2de29943e6%22	https://avancargo.com/static/android-chrome-192x192.png	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/avancargo.com/static/android-chrome-192x192.png	(from https://avancargo.com/)
10:30:30	594/594	---M--	200	added ('OK')	image/png	etag:%22e7ef89804a07ece61e927f21c3d09ed7%22	https://avancargo.com/static/favicon-32x32.png	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/avancargo.com/static/favicon-32x32.png	(from https://avancargo.com/)
10:30:31	341/341	---M--	200	added ('OK')	image/png	etag:%2204ef02e536ddf608c81e44fb8c34e694%22	https://avancargo.com/static/favicon-16x16.png	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/avancargo.com/static/favicon-16x16.png	(from https://avancargo.com/)
10:30:31	484/484	---M--	200	added ('OK')	binary/octet-stream	etag:%229a21862a8558e8b88f8c9da124fce253%22	https://avancargo.com/static/site.webmanifest?v=kP3rqLy304	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/avancargo.com/static/site5cfb.webmanifest	(from https://avancargo.com/)
10:30:32	788/788	---M--	200	added ('OK')	image/svg+xml	etag:%22145c10e4ed8d05ce2cbe7c03f0abd174%22	https://avancargo.com/static/safari-pinned-tab.svg?v=kP3rqLy304	D:/Templates%20Web/Plantilla%20Web%204%20-%20Delta%20Xpress%20(Contact)%202/avancargo.com/static/safari-pinned-tab5cfb.svg	(from https://avancargo.com/)
